audio_url0,audio_url1,audio_url2,audio_url3,audio_url4,audio_url5
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/2830_3980_000018_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/2830_3980_000018_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/2830_3980_000018_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/2830_3980_000018_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/2830_3980_000018_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/2830_3980_000018_000001.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/3729_6852_000049_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/3729_6852_000049_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/3729_6852_000049_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/3729_6852_000049_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/3729_6852_000049_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/3729_6852_000049_000000.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/1284_1181_000014_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/1284_1181_000014_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/1284_1181_000014_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/1284_1181_000014_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/1284_1181_000014_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/1284_1181_000014_000002.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/2300_131720_000004_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/2300_131720_000004_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/2300_131720_000004_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/2300_131720_000004_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/2300_131720_000004_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/2300_131720_000004_000002.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/1995_1836_000008_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/1995_1836_000008_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/1995_1836_000008_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/1995_1836_000008_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/1995_1836_000008_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/1995_1836_000008_000000.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/237_134500_000022_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/237_134500_000022_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/237_134500_000022_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/237_134500_000022_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/237_134500_000022_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/237_134500_000022_000001.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/1320_122612_000023_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/1320_122612_000023_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/1320_122612_000023_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/1320_122612_000023_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/1320_122612_000023_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/1320_122612_000023_000001.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/1188_133604_000012_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/1188_133604_000012_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/1188_133604_000012_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/1188_133604_000012_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/1188_133604_000012_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/1188_133604_000012_000002.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/4077_13754_000014_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/4077_13754_000014_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/4077_13754_000014_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/4077_13754_000014_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/4077_13754_000014_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/4077_13754_000014_000000.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/1089_134686_000007_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/1089_134686_000007_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/1089_134686_000007_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/1089_134686_000007_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/1089_134686_000007_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/1089_134686_000007_000005.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/260_123286_000060_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/260_123286_000060_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/260_123286_000060_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/260_123286_000060_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/260_123286_000060_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/260_123286_000060_000005.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/3570_5694_000007_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/3570_5694_000007_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/3570_5694_000007_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/3570_5694_000007_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/3570_5694_000007_000001.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/3570_5694_000007_000001.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/8224_274384_000016_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/8224_274384_000016_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/8224_274384_000016_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/8224_274384_000016_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/8224_274384_000016_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/8224_274384_000016_000000.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/6829_68769_000068_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/6829_68769_000068_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/6829_68769_000068_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/6829_68769_000068_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/6829_68769_000068_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/6829_68769_000068_000000.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/3575_170457_000037_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/3575_170457_000037_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/3575_170457_000037_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/3575_170457_000037_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/3575_170457_000037_000002.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/3575_170457_000037_000002.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/7176_92135_000006_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/7176_92135_000006_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/7176_92135_000006_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/7176_92135_000006_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/7176_92135_000006_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/7176_92135_000006_000005.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/7127_75947_000065_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/7127_75947_000065_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/7127_75947_000065_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/7127_75947_000065_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/7127_75947_000065_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/7127_75947_000065_000000.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/8230_279154_000008_000003.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/8230_279154_000008_000003.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/8230_279154_000008_000003.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/8230_279154_000008_000003.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/8230_279154_000008_000003.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/8230_279154_000008_000003.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/7021_85628_000037_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/7021_85628_000037_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/7021_85628_000037_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/7021_85628_000037_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/7021_85628_000037_000000.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/7021_85628_000037_000000.wav
https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/melgan/7729_102255_000034_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c32/7729_102255_000034_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/ground_truth/7729_102255_000034_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/pwg/7729_102255_000034_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/univnet-c16/7729_102255_000034_000005.wav,https://kallavinka8045.github.io/is2021/wav_for_mos/unseen/hifi-gan/7729_102255_000034_000005.wav
